organization,sector,attack_type,breach_date,records_exposed,country
Org_0637,Education,Ransomware,05/23/2024,4734395,UK
Org_0048,Education,Misconfiguration,18-Apr-2019,384483,USA
Org_0527,  Technology  ,phishing,"April 12, 2022",431528,Germany
Org_0192,HEALTHCARE,Ransomware,"October 29, 2024",982702,Canada
Org_0219,Healthcare,unpatched vulnerability,26-Oct-2019,2995154,UK
Org_0413,education,UNPATCHED VULNERABILITY,31-Jul-2019,346344,Germany
Org_0296,Technology,Misconfiguration,2019-03-15,1109715,UK
Org_0484,GOVERNMENT,Malware,11/25/2025,703382,USA
Org_0348,Education,Physical Theft,2018-11-06,26451,Germany
Org_0634,TECHNOLOGY,Ransomware,"November 24, 2018",559190,Brazil
Org_0229,  Technology  ,misconfiguration,"March 28, 2023",1853555,Canada
Org_0130,Retail,Malware,23-Apr-2021,121764,Germany
Org_0626,TECHNOLOGY,Phishing,08-Apr-2024,285048,Germany
Org_0502,Retail,Unpatched Vulnerability,08-May-2020,2899856,UK
Org_0609,government,Misconfiguration,09/11/2024,,India
Org_0521,healthcare,Misconfiguration,2025-01-11,452040,USA
Org_0631,  Retail  ,  Physical Theft  ,2023-11-14,2918,USA
Org_0079,Education,Malware,"June 04, 2023",457732,Canada
Org_0455,Government,Physical Theft,11/28/2019,19303,India
Org_0443,TECHNOLOGY,Malware,"December 29, 2019",616388,Germany
Org_0223,Technology,Malware,"June 01, 2024",649133,Brazil
Org_0132,GOVERNMENT,UNPATCHED VULNERABILITY,18-Jul-2025,2471822,India
Org_0453,Finance,Physical Theft,"November 28, 2020",26565,India
Org_0050,Healthcare,unpatched vulnerability,"December 13, 2025",27093,USA
Org_0568,FINANCE,Unpatched Vulnerability,2024-03-05,694184,India
Org_0031,Education,unpatched vulnerability,11/25/2018,307399,Canada
Org_0627,Finance,  Unpatched Vulnerability  ,03-Apr-2023,2531045,Australia
Org_0260,government,misconfiguration,2021-05-21,558516,India
Org_0052,Retail,Physical Theft,15-May-2021,43755,Australia
Org_0037,Technology,Physical Theft,2025-06-10,8850,India
